,항공사,편명,목적지,계획,예상,출발,구분,현황,날짜
67,아시아나항공,OZ327,TSN(천진),10:50,11:24,11:24,여객,출발,2010-01-01
68,아시아나항공,OZ363,PVG(푸동),10:50,11:02,11:02,여객,출발,2010-01-01
69,말레이시아항공,MH67,KUL(쿠알라룸푸르),11:00,11:22,11:22,여객,출발,2010-01-01
70,대한항공,KE081,JFK(뉴욕),11:00,11:00,11:18,여객,출발,2010-01-01
71,노스웨스트항공,NW348,DTW(디트로이트),11:00,11:00,11:12,여객,출발,2010-01-01
72,아시아나항공,OZ317,TAO(청도),11:10,11:32,11:32,여객,출발,2010-01-01
73,대한항공,KE001,LAX(로스앤젤레스),11:20,11:33,11:33,여객,출발,2010-01-01
74,대한항공,KE613,HKG(홍콩),11:20,11:39,11:39,여객,출발,2010-01-01
75,대한항공,KE311,HKG(홍콩),11:25,11:37,11:37,화물,출발,2010-01-01
76,대한항공,KE317,TSN(천진),11:30,11:30,11:47,화물,출발,2010-01-01
77,아시아나항공,OZ104,NRT(도쿄/나리타),11:30,11:49,11:49,여객,출발,2010-01-01
78,대한항공,KE855,PEK(베이징),11:40,11:57,11:56,여객,출발,2010-01-01
79,대한항공,KE037,ORD(시카고),11:40,12:07,12:06,여객,출발,2010-01-01
80,대한항공,KE897,PVG(푸동),11:50,11:50,12:02,여객,출발,2010-01-01
81,중국남방항공,CZ686,DLC(대련),12:00,12:16,12:16,여객,출발,2010-01-01
82,중국동방항공,MU550,YNT(연대),12:00,12:00,12:03,여객,출발,2010-01-01
83,유나이티드항공,UA890,LAX(로스앤젤레스),12:15,12:29,12:29,여객,출발,2010-01-01
84,중국남방항공,CZ318,PEK(베이징),12:20,12:32,12:31,여객,출발,2010-01-01
85,아시아나항공,OZ339,HRB(하얼빈),12:20,12:37,12:37,여객,출발,2010-01-01
86,아시아나항공,OZ359,HGH(항저우),12:30,12:30,12:54,여객,출발,2010-01-01
87,아시아나항공,OZ349,NKG(남경),12:30,12:43,12:43,여객,출발,2010-01-01
88,대한항공,KE757,NGO(나고야),12:35,12:56,12:56,여객,출발,2010-01-01
89,중국국제항공,CA172,TSN(천진),12:45,12:45,13:10,여객,출발,2010-01-01
